Dataset   Point Species  Nom      T_1           T_2           T_3           T_4           T_5           T_6           T_7           T_8           T_9           T_10
x00204011   24   HCN   3.84533   3.95891   4.062   4.03993   4.01739   3.99437   3.97086   3.94684   3.92229   3.89721   3.87156
x00204011   25   HCN   0.94805   1.3398   1.63403   1.57379   1.51127   1.44533   1.37601   1.30243   1.22428   1.13985   1.04868
x00204011   26   HCN   1.81628   1.81043   1.80625   1.80702   1.80789   1.80884   1.80988   1.81101   1.8122   1.81349   1.81484
x00204011   27   HCN   2.88428   2.86837   2.85284   2.85626   2.8597   2.86315   2.86663   2.87012   2.87363   2.87716   2.88072
x00204011   28   HCN   3.4209   3.40158   3.38249   3.38672   3.39094   3.39519   3.39945   3.40371   3.40799   3.41229   3.41658
x00204011   29   HCN   3.51531   3.49339   3.4717   3.4765   3.48131   3.48613   3.49097   3.49581   3.50067   3.50554   3.51042
x00204011   30   HCN   3.70174   3.6777   3.65384   3.65913   3.66442   3.66972   3.67503   3.68035   3.68568   3.69102   3.69637
x00204011   1   NO   0.0105158   0.0105127   0.0105127   0.0105127   0.0105127   0.0105127   0.0105127   0.0105127   0.0105127   0.0105127   0.0105127
x00204011   2   NO   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429   0.0105429
x00204011   3   NO   0.0226343   0.0263772   0.0300334   0.0292333   0.0284238   0.0276108   0.0267902   0.0259627   0.025134   0.0243001   0.0234667
x00204011   4   NO   3.34E-07   1.65E-05   6.98E-05   5.53E-05   4.21E-05   3.05E-05   2.07E-05   1.26E-05   6.41E-06   2.28E-06   2.25E-07
x00204011   5   NO   0.0226164   0.0220685   0.0214401   0.0215843   0.021729   0.0218654   0.0220022   0.0221306   0.0222593   0.0223795   0.0225
x00204011   6   NO   0.000594831   0.000540833   0.000495282   0.000504496   0.000514463   0.000524527   0.00053537   0.000546324   0.000558083   0.000569266   0.000581978
x00204011   7   NO   0.00132486   0.00152832   0.00173519   0.00168862   0.00164269   0.00159739   0.00155156   0.00150525   0.00145964   0.00141473   0.00136943
x00204011   8   NO   0.0166438   0.0144821   0.0126356   0.0130223   0.0134217   0.0138341   0.0142633   0.0147061   0.0151666   0.0156416   0.0161351
x00204011   9   NO   0.191951   0.22315   0.252697   0.246267   0.239768   0.23319   0.226512   0.21977   0.212929   0.206013   0.199031
x00204011   10   NO   22.5825   7.94255   3.12491   3.86135   4.75108   5.83193   7.15734   8.80444   10.9248   13.6636   17.3511
x00204011   11   NO   62.5305   58.7746   54.8359   55.7267   56.6089   57.4818   58.346   59.2009   60.0472   60.8841   61.7121
x00204011   12   NO   14.2868   12.9609   11.6212   11.9198   12.2177   12.5156   12.8125   13.1092   13.4046   13.6995   13.9937
x00204011   13   NO   45.1233   47.7688   50.6245   49.9703   49.3284   48.6967   48.0771   47.4654   46.8654   46.2752   45.6945
x00204011   14   NO   29.2983   30.7897   32.3722   32.0119   31.6568   31.3069   30.9606   30.6194   30.2832   29.9505   29.6227
x00204011   15   NO   48.4327   50.165   51.9604   51.5566   51.1544   50.7561   50.3617   49.9688   49.5797   49.1944   48.8128
x00204012   16   HCN   5.50E-26   3.46E-26   2.18E-26   2.41E-26   2.67E-26   2.96E-26   3.29E-26   3.64E-26   4.04E-26   4.48E-26   4.96E-26
x00204012   17   HCN   2.64E-19   1.56E-19   9.33E-20   1.05E-19   1.17E-19   1.31E-19   1.48E-19   1.66E-19   1.86E-19   2.09E-19   2.35E-19
x00204012   18   HCN   8.38E-06   4.63E-06   2.64E-06   2.98E-06   3.37E-06   3.83E-06   4.34E-06   4.94E-06   5.62E-06   6.41E-06   7.33E-06
x00204012   19   HCN   0.0119199   0.00928949   0.00714262   0.00758153   0.00804164   0.00852368   0.00902838   0.00955655   0.010109   0.0106865   0.0112898
x00204012   20   HCN   0.196272   0.173904   0.153343   0.157758   0.162261   0.166853   0.17153   0.176299   0.181157   0.186104   0.191142
x00204012   21   HCN   0.748564   0.703364   0.659191   0.668915   0.678689   0.688518   0.698401   0.708338   0.718321   0.728353   0.738434
x00204012   22   HCN   1.37651   1.33412   1.29214   1.30144   1.31075   1.32009   1.32944   1.3388   1.34819   1.3576   1.36704
x00204012   23   HCN   0.0577084   0.0420679   0.0299841   0.0324   0.0349639   0.0376826   0.0405639   0.043616   0.0468472   0.0502674   0.053884
x00204012   24   HCN   0.104172   0.0423811   0.00958761   0.0146801   0.020973   0.0285349   0.0374185   0.0476977   0.0594388   0.0727174   0.0876045
x00204012   25   HCN   3.03238   3.24032   3.439   3.39565   3.35185   3.30758   3.26285   3.21767   3.17203   3.12594   3.07938
x00204012   26   HCN   2.50504   2.78416   3.04963   2.99189   2.93345   2.87424   2.81435   2.75378   2.69252   2.63065   2.56812
x00204012   27   HCN   4.41482   4.38983   4.36232   4.36906   4.3768   4.3813   4.38691   4.39272   4.3979   4.40292   4.40753
x00204012   28   HCN   5.21239   4.92644   4.91988   4.92126   4.9216   4.92231   4.92552   4.92724   4.92945   4.93196   5.01498
x00204012   29   HCN   6.77536   6.10856   5.81328   5.87254   5.83813   6.7853   6.05183   6.14792   6.23534   6.26448   6.33584
x00204012   30   HCN   6.82414   6.81958   6.81473   6.81584   6.81693   6.818   6.81906   6.8201   6.82113   6.82215   6.82315
x00204012   1   NO   0.0334381   0.0334285   0.0334285   0.0334285   0.0334285   0.0334285   0.0334285   0.0334285   0.0334285   0.0334285   0.0334285
x00204012   2   NO   0.0335246   0.0335246   0.0335149   0.0335149   0.0335149   0.0335149   0.0335246   0.0335246   0.0335246   0.0335246   0.0335246
x00204012   3   NO   0.06569   0.053793   0.0438997   0.0459232   0.0480494   0.0502822   0.0526016   0.0550223   0.0575349   0.0601676   0.0628854
x00204012   4   NO   0.00100409   0.00178282   0.00270609   0.0024934   0.00228437   0.00207967   0.00187999   0.00168822   0.00150471   0.00132791   0.00116035
x00204012   5   NO   0.00202146   0.00240898   0.00288942   0.00277212   0.00266267   0.00255808   0.00245818   0.00236283   0.00227186   0.00218268   0.00210009
x00204012   6   NO   0.000324189   0.000314806   0.000309243   0.000310167   0.000311092   0.000312018   0.000313876   0.000315738   0.000317607   0.00031948   0.00032136
x00204012   7   NO   0.000302815   0.000278653   0.000257177   0.000262253   0.000266521   0.000271687   0.000276031   0.000281288   0.000286596   0.000291952   0.000297359
x00204012   8   NO   0.0135424   0.0147481   0.0158652   0.0156267   0.0153833   0.0151289   0.0148767   0.0146201   0.0143531   0.0140886   0.0138142
x00204012   9   NO   0.0569934   0.0687082   0.0804976   0.0778799   0.0752616   0.0726447   0.0700176   0.0674111   0.064786   0.0621863   0.0595877
x00204012   10   NO   0.00507986   0.000141323   0.00781656   0.00517726   0.00304358   0.00145046   0.000428567   8.95E-06   0.000227127   0.00111959   0.00272236
x00204012   11   NO   0.342549   0.0065003   0.131853   0.0725714   0.0299088   0.00543269   0.000808599   0.017835   0.0584139   0.124598   0.218521
x00204012   12   NO   7.36258   6.27099   5.18818   5.38706   5.59292   5.87008   6.09525   6.38218   6.64909   6.85093   7.10482
x00204012   13   NO   5.34881   3.69798   2.9848   3.13629   3.2255   3.38036   3.59068   3.76218   4.02088   4.1809   3.03668
x00204012   14   NO   22.9078   21.8898   17.7351   18.629   19.4979   20.3783   22.2778   23.8636   24.4374   25.7457   22.0511
x00204012   15   NO   61.8775   59.7864   57.6475   58.127   58.6041   59.0788   59.5511   60.0208   60.4888   60.9541   61.4168
x00204041   1   CO   0   0   0   0   0   0   0   0   0   0   0
x00204041   2   CO   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402   0.00305402
x00204041   3   CO   1.013   1.34567   1.65034   1.58527   1.51863   1.45055   1.38101   1.30997   1.23754   1.16382   1.08894
x00204041   6   CO   0.781168   5.80362   16.672   13.6805   11.0309   8.70799   6.69726   4.98224   3.54884   2.38056   1.46326
x00204041   7   CO   7.42471   3.11145   0.435133   0.843439   1.36733   1.99564   2.71806   3.5223   4.4045   5.35402   6.36307
x00204041   8   CO   5.60367   2.74795   0.733526   1.08823   1.50015   1.96418   2.47572   3.03031   3.62408   4.2531   4.91399
x00204041   9   CO   11.9737   9.0475   6.30697   6.89489   7.4959   8.10886   8.73228   9.36517   10.0067   10.6558   11.312
x00204041   10   CO   18.986   16.362   13.7577   14.3332   14.911   15.4902   16.0711   16.6531   17.2356   17.8192   18.4023
x00204041   1   H2   0   0   0   0   0   0   0   0   0   0   0
x00204041   2   H2   2.57E-10   2.57E-10   0   0   0   2.57E-10   2.57E-10   2.57E-10   2.57E-10   2.57E-10   2.57E-10
x00204041   4   H2   2.1647   7.83422   18.3499   15.5272   12.9939   10.7364   8.73946   6.98869   5.46986   4.16897   3.07177
x00204041   5   H2   8.47892   4.93088   2.02677   2.59438   3.21092   3.87086   4.569   5.30059   6.06123   6.84693   7.65399
x00204041   6   H2   21.3636   17.62   13.6715   14.5595   15.443   16.3201   17.1891   18.0484   18.8966   19.7326   20.5552
x00204041   11   H2   6.44987   6.81304   7.21997   7.12548   7.03332   6.94354   6.85602   6.77061   6.6874   6.60624   6.52711
x00204041   12   H2   5.02504   5.2005   5.39596   5.35071   5.30648   5.26326   5.22113   5.17999   5.13992   5.10064   5.06241
x00204041   13   H2   4.40194   4.48169   4.57224   4.55114   4.5306   4.51061   4.49118   4.47229   4.45396   4.43608   4.41874
x00204041   14   H2   4.34389   4.36676   4.39657   4.38936   4.38241   4.37588   4.36969   4.36384   4.35832   4.35323   4.34839
x00204041   1   NO   0.000114991   0.000118671   0.000122408   0.000122408   0.000122408   0.000122408   0.000122408   0.000118671   0.000118671   0.000118671   0.000118671
x00204041   2   NO   0.00011137   9.41E-05   8.45E-05   8.45E-05   8.76E-05   9.09E-05   9.09E-05   9.41E-05   9.75E-05   0.000100853   0.000104301
x00204041   3   NO   13.3123   12.403   10.5328   11.0254   11.476   11.8825   12.241   12.5527   12.8145   13.0295   13.1941
x00204041   4   NO   5.55963   6.84147   8.29255   7.95932   7.63104   7.30967   6.99612   6.69033   6.39309   6.10515   5.82796
x00204041   5   NO   0.303851   0.331706   0.409319   0.387227   0.368035   0.351565   0.337663   0.326391   0.317433   0.310892   0.306316
x00204041   6   NO   0.54389   0.758633   0.991706   0.938969   0.886695   0.834969   0.783876   0.733804   0.684523   0.636403   0.589505
x00204041   7   NO   0.0590217   0.0125906   0.000571024   4.56E-05   0.00138603   0.00456063   0.00950414   0.0161543   0.0245038   0.0344576   0.0460298
x00204041   8   NO   0.000135726   0.00259566   0.0152845   0.0113615   0.00811284   0.00548697   0.00343378   0.0018897   0.00084323   0.00022362   1.94E-06
x00204041   9   NO   2.48382   2.51208   2.55675   2.54554   2.53492   2.52488   2.51598   2.50819   2.50098   2.49433   2.48879
x00204041   10   NO   13.1917   13.0903   13.0034   13.0212   13.0404   13.0596   13.0801   13.1018   13.1223   13.1454   13.1685
x00204041   11   NO   42.9343   42.6459   42.3654   42.4261   42.4892   42.5523   42.6131   42.6787   42.7419   42.8052   42.8709
x00204041   12   NO   74.672   74.2414   73.8152   73.9084   74.0017   74.0981   74.1915   74.2881   74.3848   74.4784   74.5751
x00204041   13   NO   48.9398   48.5868   48.2351   48.3123   48.3896   48.4694   48.5468   48.6243   48.7043   48.7819   48.8596
x00204041   14   NO   52.3399   51.98   51.6188   51.6987   51.7812   51.8612   51.9412   52.0214   52.1015   52.1792   52.2595
x00204041   1   O2   0   0   0   0   0   0   0   0   0   0   0
x00204041   2   O2   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847   0.00156847
x00204041   3   O2   1.32983   2.04268   2.81946   2.64434   2.47015   2.29767   2.12707   1.95944   1.79523   1.63514   1.47963
x00204041   4   O2   1.2928   2.0264   2.97013   2.7416   2.52379   2.31682   2.12074   1.93479   1.7593   1.59393   1.43849
x00204041   5   O2   0.322302   0.554082   0.872986   0.793734   0.719435   0.649896   0.584912   0.524317   0.467921   0.415556   0.367069
x00204041   6   O2   0.0621913   0.118451   0.203075   0.181435   0.161487   0.143145   0.126319   0.110936   0.0969053   0.0841521   0.0726096
x00204041   7   O2   0.019751   0.0310715   0.0473789   0.0432375   0.039408   0.0358693   0.0326085   0.0296025   0.0268267   0.0242682   0.0219146
x00204041   8   O2   0.0799727   0.0880763   0.0977155   0.0954267   0.0932199   0.0911052   0.0890683   0.0871075   0.0852209   0.0834068   0.0816579
x00204041   9   O2   0.015498   0.0172364   0.0192467   0.0187734   0.0183167   0.0178737   0.017444   0.01703   0.0166286   0.0162397   0.0158629
x00204041   10   O2   0.00833157   0.00908198   0.00992032   0.00972645   0.00953644   0.00935023   0.00916969   0.00899469   0.00882137   0.00865531   0.00849083
x00204041   11   O2   0.00491398   0.00529757   0.00571971   0.00562201   0.00552663   0.00543502   0.00534271   0.00525408   0.00516619   0.00508047   0.00499688
x00204041   12   O2   0.00306355   0.00328391   0.00352258   0.00346712   0.00341443   0.00336099   0.00330912   0.00325879   0.00320885   0.00315929   0.00311123
x00204041   13   O2   0.0195749   0.019996   0.0204359   0.0203361   0.0202366   0.0201402   0.020044   0.019948   0.0198523   0.0197596   0.0196671
x00204041   14   O2   0.00125381   0.00134079   0.0014337   0.00141262   0.00139169   0.00137092   0.00135104   0.00133057   0.00131099   0.00129155   0.00127297
x00204042   1   CO   0   0   0   0   0   0   0   0   0   0   0
x00204042   2   CO   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567   0.000880567
x00204042   3   CO   0.209327   0.292183   0.370119   0.353343   0.336241   0.318847   0.30115   0.283166   0.264969   0.246542   0.227977
x00204042   4   CO   4.42529   6.04384   7.75623   7.37196   6.98914   6.60843   6.23102   5.85778   5.48959   5.12763   4.7725
x00204042   5   CO   2.43156   4.48326   7.1706   6.51879   5.89804   5.30864   4.75054   4.22384   3.72872   3.26493   2.83259
x00204042   6   CO   0.102273   0.0860038   0.900182   0.639638   0.425857   0.257377   0.132572   0.0496935   0.00703263   0.00280728   0.0351817
x00204042   7   CO   3.23136   1.92688   0.846029   1.05934   1.28949   1.53468   1.79317   2.06236   2.34271   2.63183   2.92845
x00204042   8   CO   1.14014   0.622474   0.21823   0.29453   0.379321   0.471675   0.570709   0.675642   0.785701   0.900235   1.01856
x00204042   9   CO   12.8437   14.4939   16.5759   16.0708   15.5909   15.1352   14.7021   14.291   13.9006   13.5297   13.1778
x00204042   1   H2   0   0   0   0   0   0   0   0   0   0   0
x00204042   2   H2   0.00467126   0.00467343   0.00467343   0.00467343   0.00467343   0.00467343   0.00467343   0.00467343   0.00467343   0.00467126   0.00467126
x00204042   4   H2   0.152143   2.1596   7.17352   5.75311   4.51621   3.45241   2.55187   1.8042   1.19993   0.729278   0.383031
x00204042   5   H2   4.94218   2.26624   0.474329   0.773593   1.13397   1.5498   2.01588   2.52734   3.07974   3.66884   4.29087
x00204042   6   H2   14.9779   11.2614   7.61269   8.4057   9.21128   10.0266   10.8486   11.6749   12.5032   13.331   14.1566
x00204042   7   H2   24.8372   22.2136   19.2963   19.9694   20.6285   21.2734   21.9038   22.5186   23.12   23.7069   24.2792
x00204042   12   H2   4.96853   5.18938   5.433   5.37674   5.3217   5.26794   5.21529   5.16371   5.11339   5.06403   5.01581
x00204042   13   H2   4.05016   4.16666   4.29476   4.26522   4.23635   4.20808   4.18031   4.1532   4.12659   4.10062   4.07507
x00204042   14   H2   3.68827   3.74993   3.81823   3.80245   3.78702   3.77193   3.75719   3.74276   3.72866   3.71489   3.70142
x00204042   1   NO   0.000103085   0.000106384   0.000109734   0.000109734   0.000109734   0.000109734   0.000109734   0.000106384   0.000106384   0.000106384   0.000106384
x00204042   2   NO   8.44E-05   7.30E-05   6.76E-05   7.02E-05   7.02E-05   7.30E-05   7.30E-05   7.57E-05   7.57E-05   7.86E-05   8.15E-05
x00204042   3   NO   10.3941   9.73493   8.349   8.71678   9.05154   9.35198   9.61612   9.8443   10.0351   10.1906   10.3097
x00204042   4   NO   1.70826   2.35929   3.12209   2.94491   2.77128   2.6024   2.43884   2.28058   2.1281   1.98181   1.84206
x00204042   5   NO   0.109169   0.148112   0.220151   0.200479   0.183117   0.167736   0.154177   0.142291   0.13206   0.123235   0.115598
x00204042   6   NO   0.248532   0.292504   0.339865   0.329096   0.3185   0.308078   0.29765   0.287402   0.277334   0.267445   0.257902
x00204042   7   NO   1.30618   1.34128   1.38417   1.37416   1.36417   1.35499   1.34584   1.3371   1.32877   1.32084   1.31331
x00204042   8   NO   3.85763   3.85569   3.85828   3.85763   3.85634   3.85569   3.85569   3.85569   3.85569   3.85634   3.85699
x00204042   9   NO   8.20438   8.17407   8.14383   8.15044   8.15705   8.16367   8.17029   8.17786   8.18448   8.19111   8.19774
x00204042   11   NO   43.29   43.2856   43.2723   43.2767   43.2789   43.2811   43.2834   43.2856   43.2878   43.2878   43.29
x00204042   12   NO   56.0649   56.1004   56.1282   56.1232   56.1181   56.1105   56.1029   56.0978   56.0902   56.0826   56.0725
x00204042   13   NO   43.8259   43.8884   43.9464   43.933   43.9219   43.9085   43.8951   43.8817   43.8683   43.8549   43.8415
x00204042   14   NO   43.9152   44.0068   44.094   44.0739   44.056   44.0358   44.0179   43.9978   43.9777   43.9576   43.9375
x00204042   1   O2   0   0   0   0   0   0   0   0   0   0   0
x00204042   2   O2   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222   0.0184222
x00204042   3   O2   1.24899   1.95804   2.74811   2.56864   2.39059   2.21537   2.04281   1.87425   1.7098   1.55066   1.39669
x00204042   4   O2   0.965615   1.56597   2.3552   2.16275   1.97991   1.80729   1.64408   1.49028   1.34583   1.21037   1.08372
x00204042   5   O2   0.180935   0.35019   0.591885   0.531224   0.474667   0.422059   0.373234   0.328051   0.286359   0.248026   0.212926
x00204042   6   O2   0.0307457   0.00545473   0.00141319   0.000143473   0.000173103   0.00142901   0.0038388   0.00733153   0.0118377   0.0172866   0.0236103
x00204042   7   O2   0.0209657   0.0105529   0.00293935   0.00430263   0.00587114   0.00762351   0.00953988   0.0115955   0.0137834   0.0160841   0.0184835
x00204042   8   O2   0.00513205   0.00759388   0.011024   0.0101625   0.00936119   0.00861503   0.00792118   0.0072786   0.00667951   0.0061249   0.00560928
x00204042   9   O2   0.0414434   0.0438235   0.0466664   0.0459912   0.0453379   0.0447147   0.0441168   0.0435396   0.0429827   0.04245   0.041937
x00204042   10   O2   0.034929   0.0354876   0.0362216   0.0360431   0.0358726   0.0357138   0.0355592   0.0354199   0.0352847   0.0351572   0.0350411
x00204042   11   O2   0.0366679   0.0362901   0.0360241   0.0360734   0.0361304   0.0361912   0.0362558   0.0363281   0.0364043   0.0364883   0.0365761
x00204042   12   O2   0.0446176   0.043452   0.0423924   0.0426189   0.0428502   0.0430863   0.0433314   0.0435771   0.0438277   0.0440874   0.0443479
x00204042   13   O2   0.0584277   0.0563979   0.054488   0.0548992   0.0553213   0.055745   0.0561799   0.0566164   0.0570594   0.0575089   0.057965
x00204042   14   O2   0.0812449   0.0780814   0.0750738   0.0757322   0.0763934   0.0770631   0.0777412   0.078428   0.0791177   0.0798218   0.0805289
x00204043   1   CO   0   0   0   0   0   0   0   0   0   0   0
x00204043   2   CO   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538   0.0112538
x00204043   3   CO   0.00750503   0.00449159   0.00230848   0.00272778   0.00318391   0.00367925   0.0042104   0.00478414   0.00539693   0.00605429   0.00675481
x00204043   4   CO   0.203376   0.245892   0.286519   0.277691   0.268757   0.259692   0.250511   0.241228   0.231876   0.222436   0.212924
x00204043   5   CO   0.430825   0.565657   0.704222   0.673246   0.642365   0.61156   0.580939   0.550431   0.520176   0.490112   0.460299
x00204043   6   CO   2.73941   3.7414   4.76066   4.53472   4.30812   4.08123   3.85454   3.62839   3.40332   3.1797   2.95822
x00204043   7   CO   4.93173   8.22651   12.3599   11.3739   10.4253   9.51569   8.64596   7.82311   7.03606   6.2915   5.59003
x00204043   8   CO   4.59319   8.48705   13.9858   12.6109   11.3258   10.1279   9.01361   7.98037   7.02442   6.14324   5.33396
x00204043   9   CO   57.2859   77.4316   102.623   96.5418   90.7459   85.2236   79.9652   74.9602   70.1991   65.6723   61.3707
x00204043   10   CO   26.2698   36.909   50.7461   47.3608   44.1595   41.1338   38.2767   35.5807   33.0389   30.644   28.3897
x00204043   11   CO   50.8857   61.7282   75.3245   72.0312   68.8996   65.9222   63.0913   60.3987   57.8386   55.4043   53.0885
x00204043   12   CO   16.8406   19.2382   22.1789   21.4722   20.7973   20.1522   19.536   18.9473   18.3847   17.8465   17.3324
x00204043   13   CO   8.62179   9.16633   9.84771   9.68335   9.52651   9.37732   9.23482   9.09941   8.9707   8.84831   8.73187
x00204043   14   CO   8.03812   7.99043   8.00688   7.99744   7.9914   7.98874   7.98898   7.99261   7.99938   8.0093   8.02213
x00204043   1   H2   0   0   0   0   0   0   0   0   0   0   0
x00204043   2   H2   1.33481   1.33481   1.33496   1.33496   1.33496   1.33496   1.33481   1.33481   1.33481   1.33481   1.33481
x00204043   7   H2   237.3   403.662   643.889   583.151   526.794   474.606   426.367   381.939   340.968   303.333   268.839
x00204043   8   H2   2.73342   0.147892   7.3215   4.67853   2.6767   1.26447   0.39383   0.0210136   0.104935   0.607909   1.49475
x00204043   9   H2   1.10869   0.102559   3.31701   2.17729   1.29301   0.648717   0.230704   0.0261312   0.0227382   0.209068   0.574441
x00204043   10   H2   4.48664   9.97554   18.3817   16.2303   14.2467   12.424   10.7547   9.23211   7.85009   6.6032   5.48375
x00204043   11   H2   19.192   24.3066   30.858   29.2606   27.7475   26.3151   24.9586   23.6733   22.4578   21.3078   20.2205
x00204043   1   NO   2.56E-05   2.56E-05   2.72E-05   2.72E-05   2.72E-05   2.56E-05   2.56E-05   2.56E-05   2.56E-05   2.56E-05   2.56E-05
x00204043   2   NO   3.61E-05   2.72E-05   2.25E-05   2.40E-05   2.56E-05   2.56E-05   2.72E-05   2.89E-05   3.06E-05   3.24E-05   3.42E-05
x00204043   3   NO   1.26406   1.1334   0.904598   0.963196   1.01754   1.06746   1.11288   1.15309   1.18848   1.21878   1.24415
x00204043   4   NO   0.480864   0.619791   0.779124   0.742568   0.706625   0.671312   0.636651   0.603156   0.570806   0.539347   0.509459
x00204043   5   NO   0.0407432   0.0796406   0.10455   0.10077   0.0958708   0.0900383   0.0832808   0.0757303   0.0675403   0.0588867   0.0498958
x00204043   6   NO   0.0125132   0.267768   0.774842   0.645575   0.525059   0.413872   0.31355   0.224987   0.149591   0.088184   0.0421792
x00204043   9   NO   15.1992   25.4944   37.5773   34.7625   32.0176   29.3474   26.7571   24.2536   21.8401   19.5221   17.3062
x00204043   10   NO   1.41272   6.77003   16.2497   13.788   11.5271   9.47193   7.61937   5.97175   4.52848   3.28915   2.25082
x00204043   11   NO   9.59897   4.89626   1.51697   2.12611   2.82098   3.59635   4.44541   5.36288   6.34207   7.37813   8.46555
x00204043   1   O2   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10
x00204043   2   O2   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10   3.50E-10
x00204043   3   O2   2.02681   2.33   2.61821   2.55586   2.49246   2.42812   2.36292   2.29691   2.23022   2.16292   2.09508
x00204043   4   O2   2.3214   2.80538   3.32693   3.20824   3.09102   2.97544   2.8616   2.74959   2.63946   2.53134   2.4253
x00204043   5   O2   1.90162   2.31449   2.7694   2.66448   2.56177   2.46127   2.36287   2.2666   2.17239   2.08018   1.98991
x00204043   6   O2   1.8657   2.35974   2.89593   2.77349   2.65288   2.53412   2.41737   2.30262   2.19002   2.0796   1.97148
x00204043   7   O2   1.08603   1.42945   1.84553   1.74657   1.65137   1.55985   1.47202   1.38821   1.30752   1.23028   1.1565
x00204043   8   O2   0.408935   0.521371   0.661197   0.627454   0.595289   0.564647   0.535443   0.507628   0.481123   0.455868   0.431833
x00204043   9   O2   0.384086   0.437775   0.500844   0.485932   0.47155   0.457675   0.44429   0.431376   0.418916   0.406891   0.395286
x00204043   10   O2   0.176235   0.193803   0.214412   0.209544   0.204846   0.200312   0.195935   0.191709   0.187632   0.183697   0.1799
x00204043   11   O2   0.109697   0.115416   0.122092   0.120517   0.118996   0.117527   0.116108   0.114737   0.113411   0.112131   0.110893
x00204043   12   O2   0.0406353   0.0420754   0.0437341   0.0433447   0.0429675   0.0426022   0.0422483   0.0419054   0.0415728   0.0412504   0.0409382
x00204043   13   O2   0.0354354   0.035963   0.0365789   0.0364336   0.0362937   0.0361578   0.0360267   0.0359   0.0357777   0.0356598   0.0355454
x00204043   14   O2   0.0791651   0.0793048   0.0795178   0.0794637   0.0794135   0.0793673   0.0793245   0.0792856   0.0792501   0.0792186   0.0791899
x00204044   1   CO   0   0   0   0   0   0   0   0   0   0   0
x00204044   2   CO   0   0   0   0   0   0   0   0   0   0   0
x00204044   3   CO   0.00384259   1.76E-07   0.00383608   0.00233184   0.00120008   0.000440802   5.32E-05   4.17E-05   0.000408362   0.00116041   0.00230153
x00204044   4   CO   0.173145   0.0972453   0.0467231   0.0560023   0.0663668   0.0778174   0.0904653   0.104339   0.119494   0.13595   0.15384
x00204044   5   CO   0.670156   0.458124   0.293913   0.326671   0.361484   0.398468   0.43761   0.479108   0.522954   0.569371   0.618355
x00204044   6   CO   0.068523   0.390282   0.873211   0.756554   0.644466   0.537983   0.437741   0.344764   0.260151   0.185083   0.120737
x00204044   7   CO   0.6943   0.0112359   0.99762   0.64885   0.3711   0.168005   0.0432249   2.65E-05   0.0406242   0.16841   0.385686
x00204044   8   CO   2.21569   0.20806   0.434086   0.163453   0.0235723   0.00871143   0.113041   0.330639   0.655657   1.08215   1.60409
x00204044   9   CO   4.80941   8.11807   13.0536   11.7896   10.6267   9.55744   8.57709   7.67951   6.8589   6.11047   5.42896
x00204044   10   CO   40.6288   42.4068   45.1356   44.4383   43.7935   43.2025   42.6596   42.164   41.7149   41.3117   40.949
x00204044   1   H2   0   0   0   0   0   0   0   0   0   0   0
x00204044   2   H2   0.375955   0.37599   0.37599   0.37599   0.37599   0.37599   0.37599   0.37599   0.37599   0.37599   0.375955
x00204044   8   H2   14.0845   6.57171   1.32368   2.20764   3.27105   4.49125   5.84807   7.32269   8.89843   10.5598   12.2924
x00204044   9   H2   36.9649   30.8645   24.3901   25.8534   27.3045   28.741   30.1611   31.5631   32.9456   34.3074   35.6474
x00204044   10   H2   16.7428   14.2237   11.595   12.1865   12.7742   13.3577   13.9363   14.5096   15.0772   15.6389   16.1942
x00204044   1   NO   4.87E-06   4.87E-06   5.18E-06   5.18E-06   5.18E-06   4.87E-06   4.87E-06   4.87E-06   4.87E-06   4.87E-06   4.87E-06
x00204044   2   NO   5.18E-06   4.28E-06   3.73E-06   3.73E-06   4.00E-06   4.00E-06   4.28E-06   4.28E-06   4.57E-06   4.87E-06   4.87E-06
x00204044   3   NO   0.213732   0.193777   0.156635   0.166271   0.175148   0.183245   0.190496   0.19684   0.202414   0.207056   0.210794
x00204044   4   NO   0.0775214   0.100994   0.127914   0.121743   0.115631   0.109676   0.103833   0.0981944   0.0927129   0.0874298   0.0823812
x00204044   5   NO   0.0150663   0.0232109   0.0277662   0.0271429   0.0262776   0.0252047   0.0239382   0.022453   0.0208139   0.0190058   0.0170789
x00204044   6   NO   0.334552   0.181581   0.0837791   0.101351   0.121175   0.143401   0.168183   0.195678   0.225915   0.259032   0.295245
